entry,name,area,mean,min,max,intden,rawintden,norm_density,genotype,clone
21,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0023-0340-1709:24,1.133e-6,607.188,426,1082,6.882e-4,5864217,0.19148663800809948,syp KO,NA
22,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0041-0227-1688:42,1.054e-6,596.868,363,906,6.293e-4,5362259,0.184727074682319,syp KO,NA
23,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0038-0166-1503:39,1.339e-6,632.126,376,905,8.466e-4,7213818,0.20768795261229345,syp KO,NA
24,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0041-0343-1083:42,1.748e-6,660.134,424,1092,0.001,9830055,0.22576474973224747,syp KO,NA
25,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0032-0191-1260:33,1.36e-6,710.141,416,1084,9.657e-4,8228409,0.2584298627166563,syp KO,NA
26,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0038-0636-0377:39,1.3e-6,724.402,433,1221,9.414e-4,8021301,0.2676109221028874,syp KO,NA
27,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0041-0315-0703:42,1.322e-6,574.988,410,943,7.602e-4,6477240,0.17033849514427277,syp KO,NA
28,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0026-0184-0747:27,1.403e-6,689.925,422,1081,9.678e-4,8245978,0.2451930228074368,syp KO,NA
29,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0044-0167-0484:45,1.602e-6,521.848,328,1069,8.358e-4,7121655,0.1355758770798257,syp KO,NA
30,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0032-0177-0332:33,1.074e-6,646.744,421,972,6.943e-4,5915771,0.2169278886790155,syp KO,NA
1,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0038-1932-1186:39,1.584e-6,604.346,392,947,9.573e-4,8156852,0.1894730159512451,syp KO,NA
2,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0029-1917-1551:30,1.14e-6,657.456,358,1094,7.498e-4,6388504,0.22426045464105393,syp KO,NA
3,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0023-1832-0939:24,2.283e-6,806.52,471,1403,0.002,15689242,0.32134900910331887,syp KO,NA
4,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0029-1714-1160:30,1.586e-6,790.249,489,1302,0.001,10680999,0.310811307667695,syp KO,NA
5,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0023-1641-1328:24,1.813e-6,907.096,500,1479,0.002,14011001,0.38686851187726495,syp KO,NA
6,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0029-1428-1061:30,1.953e-6,848.07,534,1523,0.002,14109335,0.3483138569196634,syp KO,NA
7,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0029-1501-0871:30,2.346e-6,777.426,450,1476,0.002,15539190,0.3023249475872836,syp KO,NA
8,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0032-1185-1455:33,1.872e-6,861.958,536,1341,0.002,13745652,0.3573716762078914,syp KO,NA
9,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0032-1068-1661:33,1.046e-6,725.542,455,1293,7.592e-4,6468934,0.26869933635682036,syp KO,NA
10,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0029-1211-1820:30,1.056e-6,744.644,514,1130,7.863e-4,6699562,0.2809350172458617,syp KO,NA
11,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0020-1316-1774:21,8.691e-7,842.646,526,1245,7.323e-4,6239793,0.3448813099585691,syp KO,NA
12,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0023-1183-0742:24,1.465e-6,925.469,566,1559,0.001,11550778,0.3988425095108618,syp KO,NA
13,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0032-1117-0983:33,1.916e-6,749.994,464,1302,0.001,12245896,0.2845409702890637,syp KO,NA
14,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0032-0998-1131:33,1.666e-6,744.34,489,1320,0.001,10564417,0.28069804581470675,syp KO,NA
15,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0035-0900-1019:36,1.583e-6,802.813,508,1572,0.001,10827533,0.31887464500202767,syp KO,NA
16,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0029-0937-0627:30,1.386e-6,828.226,526,1370,0.001,9780524,0.3354692816977632,syp KO,NA
17,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0026-0777-0874:27,1.485e-6,797.14,482,1246,0.001,10086207,0.3152136304925522,syp KO,NA
18,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0023-0754-1131:24,1.402e-6,834.297,496,1279,0.001,9965677,0.33941413594455405,syp KO,NA
