file_name,cell_id,cell_area,channel,nb_rna,depth,gene,genotype,compartment
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,522,7185,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,525,7920,1,12,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,537,7521,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,550,4711,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,553,6906,1,3,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,559,2739,1,5,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,571,7473,1,6,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,572,4551,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,577,6560,1,6,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,583,4641,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,13,5830,2,12,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,18,2966,2,7,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,49,5909,2,9,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,51,4546,2,13,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,81,2948,2,12,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,82,3528,2,6,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,87,4551,2,18,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,96,5365,2,15,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,122,7549,2,7,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,159,5984,2,10,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,192,9172,2,16,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,196,5022,2,44,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,202,5861,2,20,shallow,mamo,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,414,7786,2,18,shallow,mamo,imp RNAi,CB
