file_name,cell_id,cell_area,channel,nb_rna,depth,gene,genotype,compartment
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,390,6300,1,11,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,397,7318,1,13,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,477,6484,1,9,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,487,9912,1,10,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,498,6068,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,516,5435,1,9,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,523,5439,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,543,14338,1,10,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,624,7074,1,15,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,20,3859,2,15,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,23,4491,2,30,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,27,6431,2,46,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,28,3869,2,73,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,36,2084,2,33,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,41,6550,2,27,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,51,11753,2,22,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,53,6632,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,58,7922,2,16,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,62,4584,2,39,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,77,8027,2,67,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,78,7438,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,80,5662,2,39,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,87,13949,2,6,shallow,mamo,Wildtype,VNC
