entry,name,area,mean,min,max,intden,rawintden,clone,norm_density
3,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0012-1749-1614:12,1.403e-6,508.513,300,918,7.136e-4,6080793,Wildtype,1.0136924124154385
4,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0020-1868-1307:20,8.303e-7,436.4,290,836,3.624e-4,3087533,Wildtype,0.7801217635686007
5,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0028-1461-1380:28,1.306e-6,537.411,331,1036,7.016e-4,5978156,Wildtype,1.1060181294621765
6,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0028-1410-0813:28,1.189e-6,492.954,306,905,5.859e-4,4992147,Wildtype,0.9622677954495487
7,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0016-1099-1299:16,1.212e-6,588.433,324,1134,7.132e-4,6077336,Wildtype,1.2717776105332161
8,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0020-0920-1143:20,1.353e-6,543.038,319,1152,7.346e-4,6259054,Wildtype,1.1244595994513664
9,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0016-0881-1249:16,1.055e-6,596.635,344,1163,6.296e-4,5364349,Wildtype,1.2984856452273699
10,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0024-0686-1188:24,1.053e-6,544.894,338,1011,5.738e-4,4888793,Wildtype,1.1307857678871744
11,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0032-0665-1298:32,9.813e-7,522.72,316,1027,5.129e-4,4370458,Wildtype,1.0590764681297762
12,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0056-0214-0657:56,1.244e-6,419.898,254,731,5.224e-4,4451338,Wildtype,0.7268747350584576
13,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0064-0341-0270:64,9.052e-7,405.561,267,767,3.671e-4,3128089,Wildtype,0.6803709876373034
14,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0064-0506-0435:64,9.338e-7,413.394,274,711,3.86e-4,3289374,Wildtype,0.7057480826140307
15,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0044-0378-0777:44,1.231e-6,468.701,292,842,5.769e-4,4915737,Wildtype,0.8843596076818588
16,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0024-0697-1009:24,1.534e-6,568.213,349,1240,8.715e-4,7425410,Wildtype,1.2058494669349349
17,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0024-0500-1316:24,9.435e-7,534.218,345,869,5.04e-4,4294579,Wildtype,1.0962657549348853
1,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0015-0825-1040:16,1.143e-6,466.936,276,860,5.339e-4,4548891,syp RNAi clone,0.8792350630179856
2,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0015-1952-1184:16,8.689e-7,433.485,285,709,3.767e-4,3209523,syp RNAi clone,0.7707123121365849
3,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0051-0574-0381:52,9.733e-7,389.863,249,648,3.794e-4,3233134,syp RNAi clone,0.6295781100861925
4,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0043-1252-1005:44,1.421e-6,447.456,275,813,6.36e-4,5419140,syp RNAi clone,0.8161821551225626
5,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0059-0353-1072:60,1.083e-6,401.838,263,731,4.351e-4,3707757,syp RNAi clone,0.6681946777195132
6,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0075-0227-1049:76,1.514e-6,396.479,268,630,6.004e-4,5115770,syp RNAi clone,0.6512631016538175
1,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0020-1715-0575:20,9.925e-7,386.25,223,705,3.834e-4,3266513,Wildtype,0.617955829623131
2,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0032-1578-0975:32,1.089e-6,450.093,282,861,4.903e-4,4177316,Wildtype,0.8246471843440356
3,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0032-1545-1142:32,1.105e-6,455.119,280,807,5.03e-4,4286311,Wildtype,0.8409994151914719
4,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0016-1418-1139:16,1.108e-6,511.12,313,869,5.663e-4,4825486,Wildtype,1.0216590705146653
5,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0020-1377-0899:20,1.064e-6,468.29,288,880,4.981e-4,4244582,Wildtype,0.8828347095993004
6,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0024-1224-0490:24,7.721e-7,435.828,286,738,3.365e-4,2867311,Wildtype,0.7782538245514181
7,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0032-0972-1056:32,9.804e-7,449.343,287,778,4.406e-4,3753811,Wildtype,0.821967324966754
8,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0040-0947-0921:40,1.268e-6,419.767,263,761,5.322e-4,4534321,Wildtype,0.7260084475176487
9,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0040-1063-0599:40,8.232e-7,416.71,270,723,3.43e-4,2922805,Wildtype,0.7163620957317813
10,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0052-0752-0758:52,1.163e-6,426.819,273,695,4.966e-4,4231058,Wildtype,0.7495688956990876
11,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0052-0834-0889:52,1.313e-6,399.92,262,762,5.25e-4,4473106,Wildtype,0.6618141826267285
12,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0064-0283-1261:64,1.045e-6,368.984,253,610,3.857e-4,3286537,Wildtype,0.5624866803908405
13,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0056-0480-0741:56,9.341e-7,439.135,288,799,4.102e-4,3495078,Wildtype,0.7888784543711956
14,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0048-0335-0615:48,7.489e-7,427.927,277,694,3.205e-4,2730599,Wildtype,0.7526390944349003
15,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0044-0644-0618:44,1.171e-6,437.213,279,767,5.122e-4,4364256,Wildtype,0.783298728667001
16,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_005.tiff:0048-0804-0351:48,7.664e-7,358.627,240,597,2.748e-4,2341834,Wildtype,0.5285710372447663
